pair_id,orth_sim,phon_sim,sem_sim,semantic_imputed,label
B000270,0.833333,0.977778,0.540444,False,false_friend
B000271,0.111111,0.429670,0.692150,False,unrelated
B000272,0.153846,0.215837,0.539649,False,unrelated
B000273,0.181818,0.426244,0.735726,False,unrelated
B000274,0.230769,0.558120,0.573044,False,unrelated
B000275,0.700000,0.757436,0.576951,False,cognate
B000276,0.666667,0.941026,0.965354,False,cognate
B000277,0.222222,0.420769,0.606791,False,unrelated
B000278,0.625000,0.620659,0.705496,False,false_friend
B000279,0.833333,0.977778,0.549248,False,false_friend
B000280,1.000000,1.000000,0.611374,False,false_friend
B000281,0.625000,0.771385,0.597418,False,cognate
B000282,0.647059,0.696923,0.541361,False,cognate
B000283,0.062500,0.205846,0.594178,False,unrelated
B000284,0.888889,0.984615,0.563316,False,cognate
B000285,0.400000,0.361538,0.507966,False,unrelated
B000286,0.647059,0.757692,0.509748,False,cognate
B000287,1.000000,1.000000,0.762038,False,cognate
B000288,0.705882,0.696923,0.711979,False,cognate
B000289,0.133333,0.452227,0.693741,False,unrelated
B000290,0.833333,0.977778,0.605575,False,false_friend
B000291,0.888889,0.843956,0.629432,False,false_friend
B000292,0.888889,0.972028,0.668046,False,cognate
B000293,0.700000,0.836686,1.000000,False,cognate
B000294,0.777778,0.816667,0.884203,False,cognate
B000295,0.235294,0.349833,0.908373,False,unrelated
B000296,0.875000,1.000000,0.741578,False,false_friend
B000297,0.875000,0.965812,0.610462,False,false_friend
B000298,0.600000,0.671923,0.930648,False,cognate
B000299,0.846154,0.853394,0.534698,False,cognate
